ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-10D10:00:00.000000000,3.3,-2.7,65,310,7,24.1,101.45,,,Mostly Cloudy
2013-01-10D11:00:00.000000000,4.3,-3.2,58,340,13,24.1,101.42,,,Mostly Cloudy
2013-01-10D12:00:00.000000000,4.3,-3.2,58,360,11,24.1,101.36,,,Mostly Cloudy
2013-01-10D13:00:00.000000000,4.9,-2.4,59,,0,24.1,101.24,,,Mostly Cloudy
2013-01-10D14:00:00.000000000,5.2,-2.6,57,350,4,24.1,101.23,,,Mostly Cloudy
2013-01-10D15:00:00.000000000,5.1,-1.9,61,150,11,24.1,101.23,,,Mostly Cloudy
2013-01-10D16:00:00.000000000,4.3,-2.2,63,150,9,24.1,101.21,,,Mostly Cloudy
2013-01-10D17:00:00.000000000,3.3,-2.4,66,170,7,24.1,101.18,,,Mostly Cloudy
2013-01-10D18:00:00.000000000,2.8,-2,71,170,6,24.1,101.17,,,Mostly Cloudy
2013-01-10D19:00:00.000000000,2.6,-1.5,74,150,7,24.1,101.16,,,Mostly Cloudy
2013-01-10D20:00:00.000000000,2.9,-1.2,74,120,6,24.1,101.15,,,Mostly Cloudy
2013-01-10D21:00:00.000000000,2.5,-1.2,77,130,7,24.1,101.07,,,Mostly Cloudy
2013-01-10D22:00:00.000000000,2.5,-0.4,81,130,9,24.1,101,,,Mostly Cloudy
2013-01-10D23:00:00.000000000,2.7,-0.5,79,120,15,24.1,100.88,,,Mostly Cloudy
2013-01-11D00:00:00.000000000,2.8,-0.1,81,110,15,24.1,100.75,,,Mostly Cloudy
2013-01-11D01:00:00.000000000,3,-0.3,79,110,20,24.1,100.6,,,Cloudy
2013-01-11D02:00:00.000000000,3.7,-1.5,69,90,15,24.1,100.45,,,Cloudy
2013-01-11D03:00:00.000000000,3.6,-0.9,72,120,6,24.1,100.42,,,Cloudy
2013-01-11D04:00:00.000000000,3.5,0.2,79,110,15,19.3,100.29,,,Rain Showers
2013-01-11D05:00:00.000000000,3,1.4,89,90,7,19.3,100.17,,,Rain Showers
2013-01-11D06:00:00.000000000,3,1.5,90,90,6,19.3,100.05,,,Rain Showers
2013-01-11D07:00:00.000000000,2.9,1.6,91,100,9,24.1,99.91,,,Rain Showers
2013-01-11D08:00:00.000000000,3.1,1.6,90,130,9,24.1,99.88,,,Rain Showers
2013-01-11D09:00:00.000000000,3.4,1.7,89,100,13,24.1,99.73,,,Rain Showers
2013-01-11D10:00:00.000000000,3.7,2.3,91,110,11,24.1,99.62,,,Rain Showers
2013-01-11D11:00:00.000000000,4.4,2.6,88,140,7,24.1,99.5,,,Rain Showers
2013-01-11D12:00:00.000000000,4.4,3.2,92,110,9,16.1,99.29,,,Rain Showers
2013-01-11D13:00:00.000000000,5.3,3.3,87,120,15,24.1,99.1,,,Cloudy
2013-01-11D14:00:00.000000000,5.7,3.3,85,140,4,24.1,99.14,,,Cloudy
2013-01-11D15:00:00.000000000,5.4,4.2,92,110,7,12.9,99.12,,,Rain Showers
2013-01-11D16:00:00.000000000,5.2,4.5,95,90,7,19.3,99.09,,,Cloudy
2013-01-11D17:00:00.000000000,5.6,4.9,95,130,7,16.1,99.05,,,Cloudy
2013-01-11D18:00:00.000000000,5.7,5.5,99,150,7,1.2,99.09,,,"Drizzle,Fog"
